Deutsch;Turkce
Herzlich willkommen;Hos geldiniz
Auf Wiedersehen;Allahaismarladik
Heute;Bugun
Heute Morgen;Bu sabah
Heute Abend;Bu gece
Gestern Nacht;Dun gece
Baby;Bebek
Wie heissen Sie?;Sizin adiniz nedir?
Wie geht's? / Wie geht es Ihnen?;Nasilsiniz?
Gut danke und dir?;Iyiyim, tesekkur ederim, ya siz?
Bist du Single?;Bekar misiniz?
Wie alt sind Sie?;Yasiniz?
Welchen Sport machst du?;Hangi sporu yapiyorsunuz?
Deine Augen sind sehr schon;Gozleriniz cok guzel
Moechten Sie mit mir essen?;Benimle yemege cikar misiniz?
Ja;Evet
Nein;Hayir
Sicher;Tabii ki
Hilf mir;Yardim edin
Ziehen;Cekiniz
Druecken;Itiniz
Rolltreppe;Yuruyen merpen
Treppe;Merpen
Aufzug;Asansor
Ich bin tuerkisch;Ben Turkum
Englisch;Ingiliz
Argentinier;Arjantinli
Chinesisch;Cinli
Aegyptisch;Misirli
Kanadisch;Kanadali
Hier;Burada
Dort;Orada
Hinter;Arkasinda
Weit;Uzaginda
Nieder;Asagida
Klein;Kucuk
Lange;Uzun
Kurz;Kisa
Duenn;Ince
Was;Ne?
Wie viele?;Kac tane?
Wie spaet ist es?;Saat kac?
Es ist drei Uhr;Saat 3
Es ist Viertel nach drei;Saat 3'u ceyrek geciyor
Es ist halb vier;Saat 3 bucuk
Nach zwei Uhr;Saat 2'den sonra
Heute ist der 20. April 2007;Bugun 20 Nisan 2007
Glueckliche Jahre;Mutlu yillar
Herzlichen Glueckwunsch zum Geburtstag;Dogum gununuz kutlu olsun
Ich wuensche Ihnen einen schoenen Hochzeitstag;Evlilik yil donumuz kutlu olsun
