Deutsch;Turkce
Herzlich willkommen;Hos geldiniz
Auf Wiedersehen;Hosca kalin
Guten Morgen;Gunaydin
Haben Sie einen guten Tag;Iyi gunler
Guten Abend;Iyi aksamlar
Gute Nacht;Iyi geceler
Auf Wiedersehen;Gule gule
Auf Wiedersehen;Allahaismarladik
Heute;Bugun
Heute Morgen;Bu sabah
Heute Abend;Bu aksam
Heute Abend;Bu gece
Gestern;Dun
Vorgestern;Onceki gun
Gestern Nacht;Dun gece
Morgen;Sabah
Am Mittag;Oglen
Nachmittag;Ogleden sonra
Abend;Aksam
Nacht;Gece
Herr;Bay
Frau;Bayan
Baby;Bebek
Kind;Cocuk
Jung;Genc
Alt;Yasli
Verheiratet;Evli
Single;Bekar
Geschieden;Bosanmis
Ich heisse Ayse;Benim adim Ayse
Wie heissen Sie?;Sizin adiniz nedir?
Freut mich, dich kennenzulernen;Sizi tanidigima Memnun oldum
Wie geht's? / Wie geht es Ihnen?;Nasilsiniz?
Gut danke und dir?;Iyiyim, tesekkur ederim, ya siz?
Bist du Single?;Bekar misiniz?
Was arbeitest du?;Ne is yapiyorsunuz?
Wie lange Sie diesen Job gemacht?;Kac senedir bu isi yapiyorsunuz?
Wo wohnst du?;Nerede yasiyorsunuz?
Wie viele Brueder oder Schwestern hast du?;Kac kardesiniz?
Wie alt sind Sie?;Yasiniz?
Welchen Sport machst du?;Hangi sporu yapiyorsunuz?
Du bist wunderschon;Cok guzelsiniz
Deine Augen sind sehr schon;Gozleriniz cok guzel
Ich mag dich sehr;Sizden hoslandim
Ich mag dich auch;Ben de sizden hoslandim
Moechten Sie mit mir essen?;Benimle yemege cikar misiniz?
Ja;Evet
Nein;Hayir
Okey / alles klar;Tamam
Sicher;Tabii ki
Natuerlich;Elbette
Du hast recht;Haklisiniz
Danke dir;Tesekkur ederim
Verzeihung / Entschuldigung;Affedersiniz
Entschuldigen Sie;Ozur dilerim
Bitte schoen;Rica ederim
Hilf mir;Yardim edin
Ziehen;Cekiniz
Druecken;Itiniz
Automatische Tur;Otomatik kapi
Rolltreppe;Yuruyen merpen
Treppe;Merpen
Aufzug;Asansor
Ich bin tuerkisch;Ben Turkum
Woher kommst du?;Nerelisiniz?
Ich bin schwedisch;Isvecliyim
Deutsche;Alman
Englisch;Ingiliz
Franzosisch;Fransiz
Amerikanisch;Amerikali
Spanisch;Ispanyol
Belgier;Belcikali
Brasilianer;Brezilyali
Norwegisch;Norvecli
Daenisch;Danimarkali
Russisch;Rus
Argentinier;Arjantinli
Japanisch;Japon
Chinesisch;Cinli
Aegyptisch;Misirli
Kanadisch;Kanadali
Niederlaendisch;Hollandali
Bulgarisch;Bulgar
Griechisch;Yunanli
Hier;Burada
Dort;Orada
Da drueben;Surada
Vor;Onunde
Hinter;Arkasinda
Auf der rechten Seite;Saginda
Links;Solunda
Weit;Uzaginda
In der Naehe von;Yakininda
Nieder;Asagida
Oben;Yukarida
Klein;Kucuk
Bueyk;Buyuk
Mittel;Orta
Lange;Uzun
Kurz;Kisa
Gross;Genis
Eng;Dar
Duenn;Ince
Was;Ne?
Warum?;Neden?
Wie?;Nasil?
Welche;Hangi?
WHO?;Kim?
Wann?;Ne zaman?
Wo?;Nerede?
Wie viel?;Ne kadar?
Wie viele?;Kac tane?
Fue r wen?;Kimin icin?
Wie spaet ist es?;Saat kac?
Es ist drei Uhr;Saat 3
Es ist Viertel nach drei;Saat 3'u ceyrek geciyor
Es ist halb vier;Saat 3 bucuk
Es ist Viertel vor drei;Saat 3'e ceyrek var
Nach zwei Uhr;Saat 2'den sonra
Vor fuenf Uhr;Saat 5'ten once
Welcher Tag ist heute?;Bugun gunlerden hangi gun?
Heute ist der 20. April 2007;Bugun 20 Nisan 2007
Glueckliche Jahre;Mutlu yillar
Habt ein schoenes religioeses Fest;Iyi bayramlar
Herzlichen Glueckwunsch zum Geburtstag;Dogum gununuz kutlu olsun
Ich wuensche Ihnen einen schoenen Hochzeitstag;Evlilik yil donumuz kutlu olsun
Hallo;Merhaba
